Date,Open,High,Low,Close,Adj Close,Volume
2022-07-13,36.680000,37.430000,36.619999,37.209999,36.838104,27059200
2022-07-14,36.990002,38.160000,36.290001,37.709999,37.333107,36690700
2022-07-15,38.270000,38.669998,37.730000,38.619999,38.234013,32892300
2022-07-18,39.099998,39.340000,38.529999,38.709999,38.323112,30814400
2022-07-19,39.320000,40.730000,39.240002,40.220001,39.818024,53095300
2022-07-20,40.209999,40.669998,39.560001,40.560001,40.154625,36387900
2022-07-21,40.509998,40.650002,39.820000,40.610001,40.204124,29661200
2022-07-22,40.369999,40.509998,38.939999,39.200001,38.808216,41350000
2022-07-25,39.279999,39.410000,38.549999,39.160000,38.768616,32263400
2022-07-26,39.099998,39.570000,38.880001,38.959999,38.570614,35925500
2022-07-27,39.270000,40.419998,39.230000,40.180000,39.778419,42571600
2022-07-28,40.090000,40.119999,39.040001,39.709999,39.313118,56662300
2022-07-29,35.599998,36.619999,35.240002,36.310001,35.947102,125292400
2022-08-01,36.049999,37.689999,36.049999,36.959999,36.590603,52513400
2022-08-02,36.590000,36.660000,36.000000,36.009998,35.650097,53929400
2022-08-03,36.090000,36.590000,35.259998,36.520000,36.155003,59513900
2022-08-04,36.009998,36.099998,35.360001,35.660000,35.660000,54046300
2022-08-05,35.349998,35.689999,35.180000,35.389999,35.389999,40205100
2022-08-08,35.360001,35.959999,35.200001,35.380001,35.380001,41534600
2022-08-09,35.220001,35.299999,34.400002,34.520000,34.520000,48202300
2022-08-10,34.990002,35.400002,34.590000,35.369999,35.369999,42243300
2022-08-11,35.639999,36.290001,35.490002,35.590000,35.590000,35569700
2022-08-12,35.799999,36.139999,35.669998,36.110001,36.110001,37675200
2022-08-15,36.099998,36.430000,35.709999,36.340000,36.340000,25400600
2022-08-16,36.160000,36.580002,35.700001,36.189999,36.189999,25000200
2022-08-17,35.810001,36.080002,35.270000,35.779999,35.779999,29176100
2022-08-18,35.680000,36.330002,35.570000,36.200001,36.200001,24598200
2022-08-19,35.799999,36.029999,35.189999,35.380001,35.380001,31425500
2022-08-22,35.000000,35.060001,33.730000,33.840000,33.840000,51006100
2022-08-23,33.980000,34.389999,33.910000,33.950001,33.950001,30687100
2022-08-24,33.970001,33.990002,33.599998,33.860001,33.860001,25105700
2022-08-25,33.869999,34.930000,33.820000,34.889999,34.889999,29799100
2022-08-26,34.950001,35.029999,33.349998,33.360001,33.360001,44851500
2022-08-29,33.230000,33.410000,32.810001,32.939999,32.939999,32976800
2022-08-30,33.040001,33.070000,32.150002,32.259998,32.259998,40182500
2022-08-31,32.389999,32.389999,31.770000,31.920000,31.920000,44074500
2022-09-01,31.570000,31.830000,31.129999,31.760000,31.760000,36440700
2022-09-02,32.209999,32.380001,31.059999,31.219999,31.219999,34871100
2022-09-06,31.389999,31.389999,30.330000,30.360001,30.360001,46989600
2022-09-07,30.420000,30.790001,30.049999,30.650000,30.650000,37329500
2022-09-08,30.370001,30.850000,29.910000,30.750000,30.750000,37359500
2022-09-09,31.190001,31.500000,31.080000,31.459999,31.459999,34069500
2022-09-12,31.740000,31.860001,31.100000,31.559999,31.559999,38305500
2022-09-13,30.830000,30.930000,29.250000,29.290001,29.290001,71417900
2022-09-14,29.549999,29.770000,29.010000,29.180000,29.180000,40767200
2022-09-15,29.150000,29.410000,28.709999,28.840000,28.840000,39919100
2022-09-16,28.700001,29.320000,28.420000,29.240000,29.240000,72687900
2022-09-19,29.020000,29.500000,28.900000,29.440001,29.440001,33151900
2022-09-20,29.070000,29.170000,28.709999,28.959999,28.959999,31129000
2022-09-21,29.150000,29.590000,28.459999,28.469999,28.469999,39977300
2022-09-22,28.400000,28.500000,28.040001,28.070000,28.070000,36092700
2022-09-23,27.900000,27.900000,27.190001,27.520000,27.520000,43477300
2022-09-26,27.559999,27.700001,26.860001,26.969999,26.969999,44786400
2022-09-27,27.400000,27.600000,26.620001,26.889999,26.889999,44121400
2022-09-28,26.860001,27.280001,26.600000,27.129999,27.129999,40415000
